UNH ID #,samplename ,Collection Date,Collection Time,Project,Sub_Project,NPOC (mg C/L),TDN (mg N/L),NH4 (ug N/L),PO4 (ug P/L),Cl (mg Cl/L),NO3 (mg N/L),SO4 (mg S/L),Sub_ProjectA,Sub_ProjectB,Field Notes,Lab_Notes
198031,8,30-May-23,,QuEST,New Mexico,7.41,0.28,,,,,,Sante Fe Watershed,USF2,for DOC/TDN analysis,
198032,2,30-May-23,,QuEST,New Mexico,4.79,0.52,,,,,,Sante Fe Watershed,USF3,for DOC/TDN analysis,
198033,72,30-May-23,,QuEST,New Mexico,4.37,0.39,,,,,,Sante Fe Watershed,USF3,for DOC/TDN analysis,
198034,81,31-May-23,,QuEST,New Mexico,8.93,0.23,,,,,,Sante Fe Watershed,USF4,for DOC/TDN analysis,
198035,26,31-May-23,,QuEST,New Mexico,4.41,0.41,,,,,,Sante Fe Watershed,USF5,for DOC/TDN analysis,
198036,28,31-May-23,,QuEST,New Mexico,4.25,0.37,,,,,,Sante Fe Watershed,USF5,for DOC/TDN analysis,
198037,11,01-Jun-23,,QuEST,New Mexico,5.77,0.46,,,,,,Sante Fe Watershed,USF6,for DOC/TDN analysis,
198038,31,01-Jun-23,,QuEST,New Mexico,5.80,0.42,,,,,,Sante Fe Watershed,USF6,for DOC/TDN analysis,
198039,6,01-Jun-23,,QuEST,New Mexico,5.35,1.01,,,,,,Sante Fe Watershed,USF7,for DOC/TDN analysis,
198040,12,01-Jun-23,,QuEST,New Mexico,9.16,0.25,,,,,,Sante Fe Watershed,USF8,for DOC/TDN analysis,
198041,103,12-Jun-23,,QuEST,New Mexico,4.50,0.21,,,,,,Sante Fe Watershed,USF10,for DOC/TDN analysis,
198042,93,12-Jun-23,,QuEST,New Mexico,1.84,0.36,,,,,,Sante Fe Watershed,USF11,for DOC/TDN analysis,
198043,21,12-Jun-23,,QuEST,New Mexico,3.14,0.74,,,,,,Sante Fe Watershed,USF9,for DOC/TDN analysis,
198044,119,13-Jun-23,,QuEST,New Mexico,4.21,0.35,,,,,,Sante Fe Watershed,USF12,for DOC/TDN analysis,
198045,113,13-Jun-23,,QuEST,New Mexico,6.58,0.20,,,,,,Sante Fe Watershed,USF2,for DOC/TDN analysis,
198046,115,13-Jun-23,,QuEST,New Mexico,3.99,0.37,,,,,,Sante Fe Watershed,USF3,for DOC/TDN analysis,
198047,95,13-Jun-23,,QuEST,New Mexico,8.04,0.20,,,,,,Sante Fe Watershed,USF4,for DOC/TDN analysis,
198048,84,13-Jun-23,,QuEST,New Mexico,3.93,0.31,,,,,,Sante Fe Watershed,USF5,for DOC/TDN analysis,
198049,106,13-Jun-23,,QuEST,New Mexico,3.74,0.28,,,,,,Sante Fe Watershed,USF6,for DOC/TDN analysis,
198050,90,13-Jun-23,,QuEST,New Mexico,4.59,1.04,,,,,,Sante Fe Watershed,USF7,for DOC/TDN analysis,
198051,121,12-Jul-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF12,for DOC/TDN analysis,
198052,143,12-Jul-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF12,for DOC/TDN analysis,
198053,138,12-Jul-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF2,for DOC/TDN analysis,
198054,124,12-Jul-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF3,for DOC/TDN analysis,
198055,142,12-Jul-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF3,for DOC/TDN analysis,
198056,5,12-Jul-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF4,for DOC/TDN analysis,
198057,130,12-Jul-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF5,for DOC/TDN analysis,
198058,35,12-Jul-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF5,for DOC/TDN analysis,
198059,122,12-Jul-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF6,for DOC/TDN analysis,
